"","ID","exponential","spherical"
"1","1",1.70434259795994,1.69035625517035
"2","3",2.93052555710516,2.8902752688636
"3","6",2.23973300195164,2.17756678036985
"4","9",2.87844201696242,2.84375157197853
"5","12",2.8153056029107,2.77357443916065
"6","overall_RMSE",3.071,3.03751
